id	previous_weight_lbs	current_weight_lbs	height_in	gender	score	single_pic_sample	photo1	photo2
nra0m	230	145	68	TRUE	990	T	W0BpB_1.jpg	W0BpB_2.jpg
qujz5	311	210	69	FALSE	198	F	tkrsE.jpg	4IHig.jpg
rxcvp	170	155	67	FALSE	9	F	abXUB.jpg	A55zM.jpg
xb4q9	260	220	60	TRUE	29	T	F2IO7_1.jpg	F2IO7_2.jpg
z3zep	240	191	66	FALSE	18	T	89c7H_1.jpg	89c7H_2.jpg
zgh6w	280	210	76	FALSE	336	F	M3X8W.jpg	9y2h5.jpg
zsmo1	258	213	61	TRUE	55	T	zW1NL_1.jpg	zW1NL_2.jpg
10bdvo	180	160	68	FALSE	36	T	7MsPL_1.jpg	7MsPL_2.jpg
10ri82	177	149	66	TRUE	135	F	T448s.jpg	m3fdu.jpg
12gt5t	280	199	77	FALSE	36	T	809WT_1.jpg	809WT_2.jpg
12q7wy	321	166	74	FALSE	259	T	5ZzGs_1.jpg	5ZzGs_2.jpg
145z50	178	153	69	FALSE	19	F	UcFIU.jpg	4waf1.jpg
15eqfk	160	130	65	FALSE	7	T	yAXoB_1.jpg	yAXoB_2.jpg
17ephw	170	147	65	TRUE	61	F	NYsjPJv.jpg	VZbbc9v.jpg
19bq4c	305	271	71	FALSE	18	F	E5B6Z8U.jpg	Ux87ETg.jpg
199r9f	175	145	67	FALSE	10	F	JOjpjdf.jpg	559Ybcu.jpg
199mfa	197	145	64	TRUE	376	T	P4jrDZu_1.jpg	P4jrDZu_2.jpg
19oz4d	285	265	71	FALSE	6	F	Q13BeJb.jpg	NrqxVqr.jpg
19hrkp	275	147	68	FALSE	66	T	B42VUS6_1.jpg	B42VUS6_2.jpg
1a0n45	380	308	74	FALSE	228	T	2YwDNrj_1.jpg	2YwDNrj_2.jpg
19w70x	162	162	65	TRUE	15	F	Xnk9mR4.jpg	yEpVM3s.jpg
1a9089	213	138	69	FALSE	59	T	a3eWh9O_1.jpg	a3eWh9O_2.jpg
1ar0b1	192	164	69	FALSE	2	F	zMYQk3N.jpg	JEmGLss.jpg
1bx9zj	250	205	72	FALSE	58	T	vZqfGyQ_1.jpg	vZqfGyQ_2.jpg
1bx96k	250	205	72	FALSE	20	T	vZqfGyQ_1.jpg	vZqfGyQ_2.jpg
1bv421	275	205	74	FALSE	34	F	EFguGi3.jpg	Cd3A9hQ.jpg
1c4znt	215	165	60	FALSE	24	F	0Ylc1iS.jpg	RLSE6wx.jpg
1cptlf	185	163	63	TRUE	35	F	sHJTzi5.jpg	5vOGXd1.jpg
1daub5	196	149	65	TRUE	33	F	n3IPNsu.jpg	IItkWEC.jpg
1dimhz	160	141	62	TRUE	38	T	J0wXWsP_1.jpg	J0wXWsP_2.jpg
1f88m6	165	125	63	TRUE	17	T	EUtHkMt_1.jpg	EUtHkMt_2.jpg
1fl4ku	195	145	66	TRUE	1837	T	7Pbm35F_1.jpg	7Pbm35F_2.jpg
1fjy4s	660	357	73	FALSE	1345	T	b7hsxfo_1.jpg	b7hsxfo_2.jpg
1fpb08	330	220	71	FALSE	12	F	HNML2J6.jpg	EThIs2Q.jpg
1hld4z	170	166	64	TRUE	14	F	6drFsHv.jpg	ElVYGuk.jpg
1hjp2u	205	145	68	TRUE	562	T	fQ9rDif_1.jpg	fQ9rDif_2.jpg
1hpd65	180	150	66	TRUE	151	F	LpXnzax.jpg	B82ntXR.jpg
1i4u2g	160	153	65	TRUE	5	F	1Uum89T.jpg	STHyodQ.jpg
1ivd5z	316	275	73	FALSE	47	T	v4jfz4s_1.jpg	v4jfz4s_2.jpg
1jiiw7	212	176	66	TRUE	744	T	ViFLlpY_1.jpg	ViFLlpY_2.jpg
1jt0bx	330	270	73	FALSE	14	T	pKYHxOH_1.jpg	pKYHxOH_2.jpg
1jr46j	250	190	73	FALSE	78	F	YP9cfXE.jpg	wrvYzX3.jpg
1jnq99	245	175	67	FALSE	94	T	Z7X2vQp_1.jpg	Z7X2vQp_2.jpg
1jn1w0	260	180	71	FALSE	41	F	wJwTtof.jpg	Ld7HRAe.jpg
1k1cbr	300	219	73	FALSE	26	T	IklabM5_1.jpg	IklabM5_2.jpg
1k06zi	186	154	65	TRUE	151	F	h1Me1Oj.jpg	OFaVt8T.jpg
1k9jzm	240	170	68	FALSE	3	T	d8aZ2ao_1.jpg	d8aZ2ao_2.jpg
1lm0tb	272	218	71	FALSE	85	T	7C2ah4p_1.jpg	7C2ah4p_2.jpg
1mfd3m	175	147	67	TRUE	525	T	wWDLoCH_1.jpg	wWDLoCH_2.jpg
1madn5	350	280	78	FALSE	27	F	W6jazfl.jpg	XEm5wGM.jpg
1mpuuu	350	350	71	TRUE	128	T	lQlDSIn_1.jpg	lQlDSIn_2.jpg
1nnjg0	254	191	72	FALSE	25	T	4uS9CJz_1.jpg	4uS9CJz_2.jpg
1nmps8	240	180	68	FALSE	35	T	1dxwyiL_1.jpg	1dxwyiL_2.jpg
